regulator	target	beta.sign.sum	prior
ZBTB7A	HBE1	9	1
ELK1	CYP19A1	-9	0
EBF1	ENO2	9	1
REST	SERPINB1	-9	1
RREB1	SLC6A6	9	1
FLI1	PRDM1	9	1
SREBF2	CIDEA	9	1
CTCFL	HMGCR	-9	1
ZNF76	FAM70A	-9	1
KLF15	LTB	-9	1
ZIC1	GSTP1	9	1
HIC2	AMH	9	1
REST	NKAPL	9	1
HIC2	IGHG1	9	1
ZNF148	SLC25A30	-9	1
STAT5A	STEAP4	9	1
HEY2	PTEN	9	1
SNAI1	SCD2	9	1
SNAI1	CHI3L1	9	1
CTCF	NR2E1	8	1
